product	product_lc
3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9)	3-ketoacyl-coa thiolase (ec 2.3.1.16) @ acetyl-coa acetyltransferase (ec 2.3.1.9)
Recombinase	recombinase
Phage integrase (Site-specific recombinase)	phage integrase (site-specific recombinase)
Zinc-finger protein	zinc-finger protein
Lyzozyme M1 (1,4-beta-N-acetylmuramidase)	lyzozyme m1 (1,4-beta-n-acetylmuramidase)
Holin, toxin secretion/phage lysis	holin, toxin secretion/phage lysis
FIG00672164: hypothetical protein	fig00672164: hypothetical protein
FIG00672433: hypothetical protein	fig00672433: hypothetical protein
FIG00672565: hypothetical protein	fig00672565: hypothetical protein
FIG01032232: hypothetical protein	fig01032232: hypothetical protein
FIG01032287: hypothetical protein	fig01032287: hypothetical protein
Phage major tail protein	phage major tail protein
prophage pi2 protein 38	prophage pi2 protein 38
head-tail adaptor, putative	head-tail adaptor, putative
DNA packaging protein, putative	dna packaging protein, putative
Prophage Clp protease-like protein	prophage clp protease-like protein
Phage portal protein	phage portal protein
Phage terminase large subunit	phage terminase large subunit
FIG00672392: hypothetical protein	fig00672392: hypothetical protein
FIG00672473: hypothetical protein	fig00672473: hypothetical protein
FIG00671957: hypothetical protein	fig00671957: hypothetical protein
virulence-related protein	virulence-related protein
Adenine-specific methyltransferase (EC 2.1.1.72)	adenine-specific methyltransferase (ec 2.1.1.72)
FIG00632709: hypothetical protein	fig00632709: hypothetical protein
FIG00519798: hypothetical protein	fig00519798: hypothetical protein
HNH endonuclease domain protein	hnh endonuclease domain protein
FIG00672354: hypothetical protein	fig00672354: hypothetical protein
FIG00672546: hypothetical protein	fig00672546: hypothetical protein
DNA helicase, phage-associated	dna helicase, phage-associated
Phage antirepressor protein	phage antirepressor protein
FIG006036: phage encoded DNA polymerase I (EC 2.7.7.7)	fig006036: phage encoded dna polymerase i (ec 2.7.7.7)
rRNA biogenesis protein rrp5, putative	rrna biogenesis protein rrp5, putative
FIG00775801: hypothetical protein	fig00775801: hypothetical protein
unknown	unknown
type II DNA modification methyltransferase, putative	type ii dna modification methyltransferase, putative
MccB-like protein	mccb-like protein
putative ORF-2	putative orf-2
"Phosphoglycolate phosphatase "	"phosphoglycolate phosphatase "
CRISPR-associated protein, Cas2	crispr-associated protein, cas2
FIG01114600: hypothetical protein	fig01114600: hypothetical protein
TetR family transcriptional regulator	tetr family transcriptional regulator
Substrate-specific component BL0695 of predicted ECF transporter	substrate-specific component bl0695 of predicted ecf transporter
FIG00672017: hypothetical protein	fig00672017: hypothetical protein
Endoglucanase E precursor (EgE) (Endo-1,4-beta- glucanase E) (Cellulase E)	endoglucanase e precursor (ege) (endo-1,4-beta- glucanase e) (cellulase e)
binding-protein-dependent transport systems inner membrane component	binding-protein-dependent transport systems inner membrane component
Listeria/Bacterioides repeat protein	listeria/bacterioides repeat protein
Predicted cell-wall-anchored protein SasA (LPXTG motif)	predicted cell-wall-anchored protein sasa (lpxtg motif)
Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)	type i restriction-modification system, specificity subunit s (ec 3.1.21.3)
Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)	type i restriction-modification system, dna-methyltransferase subunit m (ec 2.1.1.72)
FIG00672167: hypothetical protein	fig00672167: hypothetical protein
hypothetical Rep protein	hypothetical rep protein
FIG00671990: hypothetical protein	fig00671990: hypothetical protein
streptococcal hemagglutinin protein	streptococcal hemagglutinin protein
FIG00671961: hypothetical protein	fig00671961: hypothetical protein
"Oxygen-insensitive NADPH nitroreductase "	"oxygen-insensitive nadph nitroreductase "
Nitroreductase	nitroreductase
Hypothetical SAV0801 homolog in superantigen-encoding pathogenicity islands SaPI	hypothetical sav0801 homolog in superantigen-encoding pathogenicity islands sapi
Manganese ABC transporter, periplasmic-binding protein SitA	manganese abc transporter, periplasmic-binding protein sita
LPXTG-motif protein cell wall anchor domain protein	lpxtg-motif protein cell wall anchor domain protein
FIG00672336: hypothetical protein	fig00672336: hypothetical protein
GepA protein	gepa protein
FIG01279648: hypothetical protein	fig01279648: hypothetical protein
nucleotidyltransferase family protein	nucleotidyltransferase family protein
Secreted protein precursor	secreted protein precursor
transport system permease	transport system permease
GTP pyrophosphokinase // Bsu YwaC	gtp pyrophosphokinase // bsu ywac
prophage ps3 protein 01	prophage ps3 protein 01
Conserved protein DUF552	conserved protein duf552
HigB toxin protein	higb toxin protein
conserved hypothetical phage AbiD protein	conserved hypothetical phage abid protein
ORF28	orf28
Transcriptional regulator, AcrR family	transcriptional regulator, acrr family
FIG00672498: hypothetical protein	fig00672498: hypothetical protein
putative sugar uptake ABC transporter permease protein	putative sugar uptake abc transporter permease protein
FIG00672530: hypothetical protein	fig00672530: hypothetical protein
TolA protein	tola protein
Type III restriction enzyme, res subunit:DEAD/DEAH box helicase, N-terminal	type iii restriction enzyme, res subunit:dead/deah box helicase, n-terminal
multiple banded antigen	multiple banded antigen
FIG00672383: hypothetical protein	fig00672383: hypothetical protein
Phage minor structural protein / possibly with peptidase activity	phage minor structural protein / possibly with peptidase activity
"Retron-type RNA-directed DNA polymerase "	"retron-type rna-directed dna polymerase "
"Glucan-binding domain / Lyzozyme M1 (1,4-beta-N- acetylmuramidase) "	"glucan-binding domain / lyzozyme m1 (1,4-beta-n- acetylmuramidase) "
Type II restriction endonuclease	type ii restriction endonuclease
"Maltodextrin glucosidase "	"maltodextrin glucosidase "
Proline-rich protein	proline-rich protein
ATP-dependent DNA helicase recG (EC 3.6.1.-)	atp-dependent dna helicase recg (ec 3.6.1.-)
Type II restriction enzyme NlaIV (EC 3.1.21.4)	type ii restriction enzyme nlaiv (ec 3.1.21.4)
FIG022160: hypothetical toxin	fig022160: hypothetical toxin
DUF1706 domain-containing protein	duf1706 domain-containing protein
FIG00672252: hypothetical protein	fig00672252: hypothetical protein
"Cytochrome c oxidase polypeptide I "	"cytochrome c oxidase polypeptide i "
Restriction enzyme BcgI beta subunit( EC:3.1.21.- )	restriction enzyme bcgi beta subunit( ec:3.1.21.- )
"Sucrose-6-phosphate hydrolase "	"sucrose-6-phosphate hydrolase "
sugar and carbohydrate transporters	sugar and carbohydrate transporters
"Mevalonate kinase "	"mevalonate kinase "
cell wall surface anchor family protein	cell wall surface anchor family protein
probable pentosidase or hexosidase	probable pentosidase or hexosidase
FIG00672526: hypothetical protein	fig00672526: hypothetical protein
Methyl-directed repair DNA adenine methylase (EC 2.1.1.72)	methyl-directed repair dna adenine methylase (ec 2.1.1.72)
Type II restriction enzyme DpnII (EC 3.1.21.4) (Endonuclease DpnII) (R.DpnII)	type ii restriction enzyme dpnii (ec 3.1.21.4) (endonuclease dpnii) (r.dpnii)
sensor protein fixL( EC:2.7.3.- )	sensor protein fixl( ec:2.7.3.- )
Ras interacting protein RIPA	ras interacting protein ripa
Putative cell wall-binding domain	putative cell wall-binding domain
"DNA topoisomerase I "	"dna topoisomerase i "
truncated alpha-glucosidase	truncated alpha-glucosidase
Ferric iron ABC transporter, permease protein	ferric iron abc transporter, permease protein
Evolved beta-D-galactosidase, alpha subunit	evolved beta-d-galactosidase, alpha subunit
Beta-phosphoglucomutase (EC 5.4.2.6)	beta-phosphoglucomutase (ec 5.4.2.6)
Maltose phosphorylase (EC 2.4.1.8) / Trehalose phosphorylase (EC 2.4.1.64)	maltose phosphorylase (ec 2.4.1.8) / trehalose phosphorylase (ec 2.4.1.64)
putative glutamate uptake system ATP-binding protein	putative glutamate uptake system atp-binding protein
Death on curing protein, Doc toxin	death on curing protein, doc toxin
FIG00648426: hypothetical protein	fig00648426: hypothetical protein
Type III restriction-modification system DNA endonuclease res (EC 3.1.21.5)	type iii restriction-modification system dna endonuclease res (ec 3.1.21.5)
Prophage ps3 protein 01	prophage ps3 protein 01
Abortive infection bacteriophage resistance protein	abortive infection bacteriophage resistance protein
Prolipoprotein Q	prolipoprotein q
"Acetyltransferase "	"acetyltransferase "
Zn peptidase	zn peptidase
HNH homing endonuclease	hnh homing endonuclease
DNA primase, phage associated	dna primase, phage associated
putative integral membrane transport protein	putative integral membrane transport protein
"Homoserine kinase "	"homoserine kinase "
Addiction module antidote protein	addiction module antidote protein
Phage-associated HNH homing endonuclease / Phage intron	phage-associated hnh homing endonuclease / phage intron
RelE/StbE replicon stabilization toxin	rele/stbe replicon stabilization toxin
Transposase	transposase
type IIS restriction enzyme	type iis restriction enzyme
addiction module toxin, RelE/StbE family	addiction module toxin, rele/stbe family
FIG00630568: hypothetical protein	fig00630568: hypothetical protein
FIG00522620: hypothetical protein	fig00522620: hypothetical protein
replication initiator protein A	replication initiator protein a
FIG00628965: hypothetical protein	fig00628965: hypothetical protein
FIG00630611: hypothetical protein	fig00630611: hypothetical protein
"Isopentenyl-diphosphate delta-isomerase, FMN- dependent "	"isopentenyl-diphosphate delta-isomerase, fmn- dependent "
Negative regulator of beta-lactamase expression	negative regulator of beta-lactamase expression
RNA-directed DNA polymerase (Reverse transcriptase)	rna-directed dna polymerase (reverse transcriptase)
Putative DNA-binding protein in cluster with Type I restriction-modification system	putative dna-binding protein in cluster with type i restriction-modification system
TnpY	tnpy
repeat protein	repeat protein
Putative glycosilase	putative glycosilase
FIG00672486: hypothetical protein	fig00672486: hypothetical protein
FIG00672014: hypothetical protein	fig00672014: hypothetical protein
COG5512: Zn-ribbon-containing, possibly RNA-binding protein and truncated derivatives	cog5512: zn-ribbon-containing, possibly rna-binding protein and truncated derivatives
possible protease HtpX	possible protease htpx
Tryptophan synthase beta chain (EC 4.2.1.20)	tryptophan synthase beta chain (ec 4.2.1.20)
FIG00672155: hypothetical protein	fig00672155: hypothetical protein
FIG00672349: hypothetical protein	fig00672349: hypothetical protein
FIG00672058: hypothetical protein	fig00672058: hypothetical protein
alpha/beta hydrolase fold	alpha/beta hydrolase fold
hydrolase, putative isochorismatase	hydrolase, putative isochorismatase
Cytosine/purine/uracil/thiamine/allantoin permease family protein	cytosine/purine/uracil/thiamine/allantoin permease family protein
ADP-ribosylglycohydrolase YegU (EC 3.2.-.-)	adp-ribosylglycohydrolase yegu (ec 3.2.-.-)
FIG00672466: hypothetical protein	fig00672466: hypothetical protein
FIG00668499: hypothetical protein	fig00668499: hypothetical protein
Prophage antirepressor	prophage antirepressor
Sua5 YciO YrdC YwlC family protein	sua5 ycio yrdc ywlc family protein
protein of unknown function UPF0102	protein of unknown function upf0102
FIG00672230: hypothetical protein	fig00672230: hypothetical protein
FIG00671973: hypothetical protein	fig00671973: hypothetical protein
FIG00672079: hypothetical protein	fig00672079: hypothetical protein
"Aspartate carbamoyltransferase "	"aspartate carbamoyltransferase "
FIG00672462: hypothetical protein	fig00672462: hypothetical protein
Fimbrial subunit type 1 precursor	fimbrial subunit type 1 precursor
FIG021764: Possible membrane protein	fig021764: possible membrane protein
Prevent-host-death family protein	prevent-host-death family protein
putative TraA-like conjugal transfer protein	putative traa-like conjugal transfer protein
FIG01116907: hypothetical protein	fig01116907: hypothetical protein
FIG01115012: hypothetical protein	fig01115012: hypothetical protein
FIG00410669: hypothetical protein	fig00410669: hypothetical protein
thioredoxin	thioredoxin
Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)	asparagine synthetase [glutamine-hydrolyzing] (ec 6.3.5.4)
RNA polymerase sigma-54 factor RpoN	rna polymerase sigma-54 factor rpon
Aspartate racemase (EC 5.1.1.13)	aspartate racemase (ec 5.1.1.13)
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (ec 2.7.6.3)
